Zeitstempel,"Mir war jederzeit klar, was ich tun sollte.",Ich konnte ungestört arbeiten.,Ich war die ganze Stunde über aktiv bei der Sache.,"Ich habe anderen etwas erklärt, ihnen Fragen gestellt oder ihnen Rückmeldung gegeben.",Ich habe in dieser Unterrichtsstunde etwas dazu gelernt.,Ich habe mich in dieser Unterrichtsstunde wohl gefühlt.,Ich habe mich mit meinen Partner gut verstanden.,Ich habe mich gut in das Paar und die gemeinsamen Aufgaben eingeordnet.,Ich habe meinem Partner aufmerksam zugehört und bin auf seine Beiträge während der Programmierung auch eingegangen.,"Ich wurde von meinem Partner unterstützt, wenn ich Hilfe gebraucht habe."
2024/05/25 12:20:10 PM OESZ,2,2,4,3,3,3,4,3,3,3
2024/05/25 12:01:10 PM OESZ,3,3,2,1,2,1,3,2,2,4
2024/05/25 12:33:10 PM OESZ,2,3,1,3,2,2,3,1,4,4
2024/05/25 12:08:10 PM OESZ,3,1,3,3,3,4,4,3,2,4
2024/05/25 12:33:10 PM OESZ,4,2,4,3,4,1,4,3,2,3
2024/05/25 12:00:10 PM OESZ,1,2,4,3,1,4,4,1,4,2
2024/05/25 12:11:10 PM OESZ,3,2,4,3,3,3,3,3,4,3
2024/05/25 12:24:10 PM OESZ,4,3,2,2,4,3,4,3,3,2
2024/05/25 12:23:10 PM OESZ,3,2,1,3,3,3,4,4,3,3
2024/05/25 11:56:10 AM OESZ,4,3,4,3,1,3,4,3,4,2
2024/05/25 12:16:10 PM OESZ,2,3,3,4,2,3,4,1,2,2
2024/05/25 12:29:10 PM OESZ,1,3,2,3,3,3,3,4,2,2
2024/05/25 12:15:10 PM OESZ,4,4,4,3,1,4,2,3,3,4
2024/05/25 12:20:10 PM OESZ,4,3,3,3,1,3,3,3,2,3
2024/05/25 12:01:10 PM OESZ,3,3,3,4,2,2,3,3,3,2
2024/05/25 12:29:10 PM OESZ,4,1,2,1,2,2,3,4,1,4
2024/05/25 12:04:10 PM OESZ,4,1,3,4,3,3,4,4,3,1
